@@Output
@@SEQUENCEID	BINID
0	Bin_6
1	Bin_4
2	Bin_6
3	Bin_5
4	Bin_5
5	Bin_10
6	Bin_2
7	Bin_5
8	Bin_6
9	Bin_10
10	Bin_7
11	Bin_8
12	Bin_4
13	Bin_6
14	Bin_2
15	Bin_10
16	Bin_10
17	Bin_6
18	Bin_7
19	Bin_2
20	Bin_9
21	Bin_8
22	Bin_4
23	Bin_9
24	Bin_6
25	Bin_8
26	Bin_9
27	Bin_2
28	Bin_10
29	Bin_4
30	Bin_3
31	Bin_8
32	Bin_8
33	Bin_4
34	Bin_10
35	Bin_9
36	Bin_7
37	Bin_8
38	Bin_2
39	Bin_4
40	Bin_2
41	Bin_8
42	Bin_8
43	Bin_4
44	Bin_6
45	Bin_2
46	Bin_10
47	Bin_9
48	Bin_6
49	Bin_2
50	Bin_9
51	Bin_1
52	Bin_2
53	Bin_10
54	Bin_7
55	Bin_8
56	Bin_8
57	Bin_5
58	Bin_10
59	Bin_10
60	Bin_8
61	Bin_3
62	Bin_2
63	Bin_4
64	Bin_10
65	Bin_5
66	Bin_4
67	Bin_9
68	Bin_10
69	Bin_8
70	Bin_9
71	Bin_7
72	Bin_10
73	Bin_10
74	Bin_2
75	Bin_9
76	Bin_8
77	Bin_8
78	Bin_2
79	Bin_7
80	Bin_2
81	Bin_2
82	Bin_4
83	Bin_10
84	Bin_9
85	Bin_7
86	Bin_2
87	Bin_8
88	Bin_8
89	Bin_4
90	Bin_10
91	Bin_4
92	Bin_9
93	Bin_8
94	Bin_4
95	Bin_2
96	Bin_8
97	Bin_9
98	Bin_3
99	Bin_9
100	Bin_2
101	Bin_10
102	Bin_7
103	Bin_7
104	Bin_7
105	Bin_10
106	Bin_8
107	Bin_9
108	Bin_9
109	Bin_7
110	Bin_10
111	Bin_10
112	Bin_7
113	Bin_9
114	Bin_7
115	Bin_8
116	Bin_8
117	Bin_7
118	Bin_9
119	Bin_9
120	Bin_8
121	Bin_7
122	Bin_9
123	Bin_9
124	Bin_7
125	Bin_9
126	Bin_7
127	Bin_9
128	Bin_9
129	Bin_9
130	Bin_8
131	Bin_10
132	Bin_9
133	Bin_7
134	Bin_7
135	Bin_7
136	Bin_7
137	Bin_7
138	Bin_7
139	Bin_7
140	Bin_4
141	Bin_2
142	Bin_2
143	Bin_6
144	Bin_9
145	Bin_9
146	Bin_3
147	Bin_5
148	Bin_4
149	Bin_3
150	Bin_6
151	Bin_4
152	Bin_4
153	Bin_7
154	Bin_10
155	Bin_10
156	Bin_10
157	Bin_6
158	Bin_2
159	Bin_2
160	Bin_2
161	Bin_8
162	Bin_8
163	Bin_9
164	Bin_8
165	Bin_6
166	Bin_4
167	Bin_2
168	Bin_2
169	Bin_6
170	Bin_10
171	Bin_5
172	Bin_4
173	Bin_10
174	Bin_10
175	Bin_8
176	Bin_7
177	Bin_4
178	Bin_6
179	Bin_6
180	Bin_2
181	Bin_8
182	Bin_1
183	Bin_1
184	Bin_7
185	Bin_6
186	Bin_5
187	Bin_5
188	Bin_10
189	Bin_10
190	Bin_8
191	Bin_7
192	Bin_2
193	Bin_9
194	Bin_4
195	Bin_4
196	Bin_4
197	Bin_6
198	Bin_4
199	Bin_2
200	Bin_1
201	Bin_6
202	Bin_3
203	Bin_9
204	Bin_8
205	Bin_2
206	Bin_7
207	Bin_6
208	Bin_5
209	Bin_4
210	Bin_8
211	Bin_8
212	Bin_5
213	Bin_9
214	Bin_3
215	Bin_6
216	Bin_6
217	Bin_4
218	Bin_2
219	Bin_2
220	Bin_9
221	Bin_10
222	Bin_7
223	Bin_10
224	Bin_6
225	Bin_7
226	Bin_6
227	Bin_10
228	Bin_10
229	Bin_3
230	Bin_6
231	Bin_6
232	Bin_6
233	Bin_9
234	Bin_7
235	Bin_6
236	Bin_7
237	Bin_6
238	Bin_9
239	Bin_5
240	Bin_4
241	Bin_9
242	Bin_8
243	Bin_4
244	Bin_10
245	Bin_4
246	Bin_10
247	Bin_4
248	Bin_4
249	Bin_9
250	Bin_7
251	Bin_2
252	Bin_8
253	Bin_2
254	Bin_2
255	Bin_9
256	Bin_4
257	Bin_2
258	Bin_4
259	Bin_7
260	Bin_3
261	Bin_1
262	Bin_8
263	Bin_10
264	Bin_9
265	Bin_9
266	Bin_8
267	Bin_2
268	Bin_10
269	Bin_6
270	Bin_8
271	Bin_4
272	Bin_8
273	Bin_5
274	Bin_3
275	Bin_4
276	Bin_2
277	Bin_2
278	Bin_4
279	Bin_8
280	Bin_8
281	Bin_6
282	Bin_9
283	Bin_4
284	Bin_9
285	Bin_8
286	Bin_4
287	Bin_7
288	Bin_2
289	Bin_7
290	Bin_10
291	Bin_4
292	Bin_8
293	Bin_4
294	Bin_7
295	Bin_2
296	Bin_10
