@@Output
@@SEQUENCEID	BINID
0	Bin_7
1	Bin_7
2	Bin_7
3	Bin_7
4	Bin_7
5	Bin_7
6	Bin_7
7	Bin_7
8	Bin_7
9	Bin_7
10	Bin_7
11	Bin_7
12	Bin_7
13	Bin_7
14	Bin_7
15	Bin_7
16	Bin_7
17	Bin_7
18	Bin_7
19	Bin_7
20	Bin_7
21	Bin_7
22	Bin_7
23	Bin_7
24	Bin_7
25	Bin_7
26	Bin_7
27	Bin_7
28	Bin_7
29	Bin_7
30	Bin_7
31	Bin_7
32	Bin_7
33	Bin_7
34	Bin_7
35	Bin_7
36	Bin_7
37	Bin_7
38	Bin_7
39	Bin_7
40	Bin_7
41	Bin_7
42	Bin_7
43	Bin_7
44	Bin_7
45	Bin_7
46	Bin_7
47	Bin_7
48	Bin_7
49	Bin_7
50	Bin_7
51	Bin_7
52	Bin_7
53	Bin_7
54	Bin_7
55	Bin_7
56	Bin_7
57	Bin_7
58	Bin_7
59	Bin_7
60	Bin_7
61	Bin_7
62	Bin_7
63	Bin_7
64	Bin_7
65	Bin_7
66	Bin_7
67	Bin_7
68	Bin_7
69	Bin_7
70	Bin_7
71	Bin_7
72	Bin_7
73	Bin_7
74	Bin_7
75	Bin_7
76	Bin_7
77	Bin_7
78	Bin_7
79	Bin_7
80	Bin_7
81	Bin_7
82	Bin_7
83	Bin_7
84	Bin_7
85	Bin_7
86	Bin_7
87	Bin_7
88	Bin_7
89	Bin_7
90	Bin_7
91	Bin_7
92	Bin_7
93	Bin_7
94	Bin_7
95	Bin_7
96	Bin_7
97	Bin_7
98	Bin_7
99	Bin_7
100	Bin_7
101	Bin_7
102	Bin_7
103	Bin_7
104	Bin_7
105	Bin_7
106	Bin_7
107	Bin_7
108	Bin_7
109	Bin_7
110	Bin_7
111	Bin_7
112	Bin_7
113	Bin_7
114	Bin_7
115	Bin_7
116	Bin_7
117	Bin_7
118	Bin_7
119	Bin_7
120	Bin_7
121	Bin_7
122	Bin_7
123	Bin_7
124	Bin_7
125	Bin_7
126	Bin_7
127	Bin_7
128	Bin_7
129	Bin_7
130	Bin_7
131	Bin_7
132	Bin_7
133	Bin_7
134	Bin_7
135	Bin_7
136	Bin_7
137	Bin_7
138	Bin_7
139	Bin_7
140	Bin_7
141	Bin_7
142	Bin_7
143	Bin_7
144	Bin_7
145	Bin_7
146	Bin_7
147	Bin_7
148	Bin_7
149	Bin_7
150	Bin_7
151	Bin_7
152	Bin_7
153	Bin_7
154	Bin_7
155	Bin_7
156	Bin_7
157	Bin_7
158	Bin_7
159	Bin_7
160	Bin_7
161	Bin_7
162	Bin_7
163	Bin_7
164	Bin_7
165	Bin_7
166	Bin_7
167	Bin_7
168	Bin_7
169	Bin_7
170	Bin_7
171	Bin_7
172	Bin_7
173	Bin_7
174	Bin_7
175	Bin_7
176	Bin_7
177	Bin_7
178	Bin_7
179	Bin_7
180	Bin_7
181	Bin_7
182	Bin_7
183	Bin_7
184	Bin_7
185	Bin_7
186	Bin_7
187	Bin_7
188	Bin_7
189	Bin_7
190	Bin_7
191	Bin_7
192	Bin_7
193	Bin_7
194	Bin_7
195	Bin_7
196	Bin_7
197	Bin_7
198	Bin_7
199	Bin_7
200	Bin_7
201	Bin_7
202	Bin_7
203	Bin_7
204	Bin_7
205	Bin_7
206	Bin_7
207	Bin_7
208	Bin_7
209	Bin_7
210	Bin_7
211	Bin_7
212	Bin_7
213	Bin_7
214	Bin_7
215	Bin_7
216	Bin_7
217	Bin_7
218	Bin_7
219	Bin_7
220	Bin_7
221	Bin_7
222	Bin_7
223	Bin_7
224	Bin_7
225	Bin_7
226	Bin_7
227	Bin_7
228	Bin_7
229	Bin_7
230	Bin_7
231	Bin_7
232	Bin_7
233	Bin_7
234	Bin_7
235	Bin_7
236	Bin_7
237	Bin_7
238	Bin_7
239	Bin_7
240	Bin_7
241	Bin_7
242	Bin_7
243	Bin_7
244	Bin_7
245	Bin_7
246	Bin_7
247	Bin_7
248	Bin_7
249	Bin_7
250	Bin_7
251	Bin_7
252	Bin_7
253	Bin_7
254	Bin_7
255	Bin_7
256	Bin_7
257	Bin_7
258	Bin_7
259	Bin_7
260	Bin_7
261	Bin_7
262	Bin_7
263	Bin_7
264	Bin_7
265	Bin_7
266	Bin_7
267	Bin_7
268	Bin_7
269	Bin_7
270	Bin_7
271	Bin_7
272	Bin_7
273	Bin_7
274	Bin_7
275	Bin_7
276	Bin_7
277	Bin_7
278	Bin_7
279	Bin_7
280	Bin_7
281	Bin_7
282	Bin_7
283	Bin_7
284	Bin_7
285	Bin_7
286	Bin_7
287	Bin_7
288	Bin_7
289	Bin_7
290	Bin_7
291	Bin_7
292	Bin_7
293	Bin_7
294	Bin_7
295	Bin_7
296	Bin_7
297	Bin_7
298	Bin_7
299	Bin_7
300	Bin_7
301	Bin_7
302	Bin_7
303	Bin_7
304	Bin_7
305	Bin_7
306	Bin_7
307	Bin_7
308	Bin_7
309	Bin_7
310	Bin_7
311	Bin_7
312	Bin_7
313	Bin_7
314	Bin_7
315	Bin_7
316	Bin_7
317	Bin_7
318	Bin_7
319	Bin_7
320	Bin_7
321	Bin_7
322	Bin_7
323	Bin_7
324	Bin_7
325	Bin_7
326	Bin_7
327	Bin_7
328	Bin_7
329	Bin_7
330	Bin_7
331	Bin_7
332	Bin_7
333	Bin_7
334	Bin_7
335	Bin_7
336	Bin_7
337	Bin_7
338	Bin_7
339	Bin_7
340	Bin_7
341	Bin_7
342	Bin_7
343	Bin_7
344	Bin_7
345	Bin_7
346	Bin_7
347	Bin_7
348	Bin_7
349	Bin_7
350	Bin_7
351	Bin_7
352	Bin_7
353	Bin_7
354	Bin_7
355	Bin_7
356	Bin_7
357	Bin_7
358	Bin_7
359	Bin_7
360	Bin_7
361	Bin_7
362	Bin_7
363	Bin_7
364	Bin_7
365	Bin_7
366	Bin_7
367	Bin_7
368	Bin_7
369	Bin_7
370	Bin_7
371	Bin_7
372	Bin_7
373	Bin_7
374	Bin_7
375	Bin_7
376	Bin_7
377	Bin_7
378	Bin_7
379	Bin_7
380	Bin_7
381	Bin_7
382	Bin_7
383	Bin_7
384	Bin_7
385	Bin_7
386	Bin_7
387	Bin_7
388	Bin_7
389	Bin_7
390	Bin_7
391	Bin_7
392	Bin_7
393	Bin_7
394	Bin_7
395	Bin_7
396	Bin_7
397	Bin_7
398	Bin_7
399	Bin_7
400	Bin_7
401	Bin_7
402	Bin_7
403	Bin_7
404	Bin_7
405	Bin_7
406	Bin_7
407	Bin_7
408	Bin_7
409	Bin_7
410	Bin_7
411	Bin_7
412	Bin_7
413	Bin_7
414	Bin_7
415	Bin_7
416	Bin_7
417	Bin_7
418	Bin_7
419	Bin_7
420	Bin_7
421	Bin_7
422	Bin_7
423	Bin_7
424	Bin_7
425	Bin_7
426	Bin_7
427	Bin_7
428	Bin_7
429	Bin_7
430	Bin_7
431	Bin_7
432	Bin_7
433	Bin_7
434	Bin_7
435	Bin_7
436	Bin_7
437	Bin_7
438	Bin_7
439	Bin_7
440	Bin_7
441	Bin_7
442	Bin_7
443	Bin_7
444	Bin_7
445	Bin_7
446	Bin_7
447	Bin_7
448	Bin_7
449	Bin_7
450	Bin_7
451	Bin_7
452	Bin_7
453	Bin_7
454	Bin_7
455	Bin_7
456	Bin_7
457	Bin_7
458	Bin_7
459	Bin_7
460	Bin_7
